iter	Passed	Remaining
0	9	2387
1	19	2384
2	28	2371
3	38	2375
4	48	2381
5	58	2378
6	68	2377
7	78	2378
8	88	2369
9	98	2357
10	107	2337
11	117	2328
12	126	2314
13	136	2305
14	146	2301
15	156	2293
16	166	2286
17	176	2277
18	186	2273
19	196	2264
20	206	2252
21	216	2246
22	227	2240
23	237	2235
24	247	2227
25	257	2218
26	267	2210
27	277	2200
28	287	2190
29	297	2178
30	306	2168
31	316	2159
32	326	2148
33	337	2144
34	347	2134
35	356	2121
36	367	2114
37	377	2105
38	387	2096
39	397	2089
40	407	2079
41	418	2070
42	427	2059
43	437	2047
44	447	2037
45	457	2026
46	466	2016
47	476	2004
48	486	1996
49	496	1987
50	506	1976
51	515	1963
52	525	1952
53	534	1939
54	544	1929
55	553	1918
56	563	1908
57	573	1897
58	582	1885
59	592	1875
60	601	1862
61	610	1850
62	619	1839
63	629	1830
64	639	1818
65	648	1808
66	658	1798
67	668	1788
68	678	1779
69	688	1769
70	697	1759
71	707	1748
72	716	1737
73	726	1728
74	736	1717
75	745	1706
76	754	1695
77	764	1685
78	774	1675
79	784	1666
80	793	1656
81	803	1645
82	813	1637
83	823	1627
84	833	1617
85	842	1606
86	852	1596
87	862	1587
88	870	1575
89	880	1565
90	890	1555
91	899	1544
92	909	1535
93	918	1524
94	928	1514
95	937	1504
96	947	1493
97	956	1483
98	966	1474
99	976	1464
100	986	1455
101	995	1445
102	1004	1434
103	1014	1424
104	1024	1415
105	1034	1404
106	1043	1394
107	1052	1384
108	1062	1375
109	1072	1364
110	1082	1355
111	1092	1345
112	1101	1336
113	1111	1326
114	1121	1317
115	1131	1307
116	1141	1297
117	1150	1287
118	1161	1278
119	1170	1267
120	1179	1257
121	1189	1247
122	1198	1237
123	1208	1227
124	1218	1218
125	1228	1209
126	1237	1198
127	1247	1188
128	1257	1179
129	1266	1169
130	1276	1159
131	1286	1149
132	1296	1140
133	1305	1130
134	1314	1120
135	1323	1109
136	1333	1099
137	1342	1089
138	1352	1080
139	1362	1070
140	1371	1060
141	1381	1050
142	1390	1040
143	1400	1030
144	1410	1021
145	1419	1011
146	1429	1001
147	1438	991
148	1447	981
149	1457	971
150	1467	962
151	1477	952
152	1486	942
153	1496	933
154	1509	925
155	1520	916
156	1532	907
157	1544	899
158	1555	890
159	1565	880
160	1575	870
161	1585	861
162	1594	851
163	1604	841
164	1613	831
165	1623	821
166	1633	811
167	1643	802
168	1652	791
169	1662	782
170	1671	772
171	1681	762
172	1691	752
173	1701	743
174	1712	733
175	1721	723
176	1731	714
177	1741	704
178	1751	694
179	1761	684
180	1771	675
181	1780	665
182	1790	655
183	1800	645
184	1811	636
185	1821	626
186	1831	616
187	1841	607
188	1849	597
189	1859	587
190	1869	577
191	1878	567
192	1888	557
193	1897	547
194	1907	538
195	1917	528
196	1926	518
197	1936	508
198	1945	498
199	1954	488
200	1964	478
201	1973	468
202	1983	459
203	1993	449
204	2002	439
205	2012	429
206	2022	420
207	2031	410
208	2041	400
209	2051	390
210	2060	380
211	2070	371
212	2080	361
213	2090	351
214	2099	341
215	2109	332
216	2119	322
217	2129	312
218	2138	302
219	2147	292
220	2157	283
221	2166	273
222	2176	263
223	2186	253
224	2195	243
225	2205	234
226	2214	224
227	2224	214
228	2233	204
229	2243	195
230	2253	185
231	2262	175
232	2272	165
233	2282	156
234	2291	146
235	2301	136
236	2311	126
237	2320	117
238	2330	107
239	2340	97
240	2350	87
241	2360	78
242	2369	68
243	2379	58
244	2389	48
245	2399	39
246	2408	29
247	2418	19
248	2428	9
249	2438	0
